Time (GMT),Time,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
123,00:01:23,0.00E+00,0,5,00bb,5c,0d48,5a,57,0,51,45,346,36d9,5
123,00:01:23,0.00E+00,0,5,00ba,5b,0d34,5a,57,0,51,45,346,36d9,5
124,00:01:24,0.00E+00,0,5,00ba,5b,0d34,5a,57,0,51,45,033a,36a1,5
124,00:01:24,0.00E+00,0,5,00bb,5c,0d98,5a,57,0,51,45,033a,36a1,5
125,00:01:25,0.00E+00,0,5,00ba,5c,0d98,5a,57,0,52,45,032d,36c4,5
125,00:01:25,0.00E+00,0,5,00b9,5b,0d70,5a,57,0,52,45,032d,36c4,5
126,00:01:26,0.00E+00,0,5,00b9,5b,0d70,5a,57,0,52,45,330,36de,5
126,00:01:26,0e1c,0,5,00b9,5c,0dc0,5a,57,0,52,45,330,36de,5
127,00:01:27,0.00E+00,0,5,00b9,5c,0dc0,5a,57,0,52,45,339,36d6,5
127,00:01:27,0.00E+00,0,5,00b9,5b,0d20,5a,57,0,52,45,339,36d6,5
128,00:01:28,0e3c,0,5,00ba,5b,0d20,5a,57,0,52,45,033f,36b6,5
128,00:01:28,0e3c,0,5,00b8,5a,0d00,5a,57,0,52,45,300,3600,5
129,00:01:29,0e1c,0,5,00b7,5a,0d00,5a,57,0,52,45,300,3600,5
129,00:01:29,0.00E+00,0,5,00b9,5c,0d00,5a,57,0,52,45,300,3600,5
130,00:01:30,0.00E+00,0,5,00b9,5c,0d00,5a,57,0,52,45,300,3600,5
130,00:01:30,0.00E+00,0,5,00b8,5a,0d00,5a,57,0,52,45,300,3600,5
131,00:01:31,0e2c,0,5,00b8,5a,0d00,5a,57,0,52,45,300,3600,5
131,00:01:31,0e2c,0,5,00b9,5b,0d00,5a,57,0,52,45,300,3600,5
132,00:01:32,0.00E+00,0,5,00b7,5b,0d00,5a,57,0,52,45,300,3600,5
132,00:01:32,0e2c,0,5,00b7,5a,0d00,5a,57,0,52,45,300,3600,5
133,00:01:33,0.00E+00,0,5,00b7,5a,0d00,5a,57,0,52,45,300,3600,5
133,00:01:33,0.00E+00,0,5,00b8,5b,0d00,5a,57,0,52,45,300,3600,5
134,00:01:34,0.00E+00,0,5,00b7,5b,0d00,5a,57,0,52,45,300,3600,5
134,00:01:34,0e2c,0,5,00b7,5a,0d00,5a,57,0,52,45,300,3600,5
135,00:01:35,0e3c,0,5,00b6,5a,0d00,5a,57,0,52,45,300,3600,5
135,00:01:35,0.00E+00,0,5,00b6,5a,0d48,5a,57,0,52,45,034b,36c0,5
136,00:01:36,0.00E+00,0,5,00b6,5a,0d48,5a,57,0,52,45,337,36be,5
136,00:01:36,0.00E+00,0,5,00b7,5b,0d48,5a,57,0,52,45,337,36be,5
137,00:01:37,0e3c,0,5,00b8,5b,0d48,5a,57,0,52,45,033c,36dd,5
137,00:01:37,0.00E+00,0,5,00b8,5a,0d5c,5a,57,0,52,45,033c,36dd,5
138,00:01:38,0.00E+00,0,5,00b6,5a,0d5c,5a,57,0,52,45,330,36e4,5
